date,small_text,event_name,date_dt,year,state,city,lat,lon
2025-07-10," Sharonville, OH, United States | Main Tournament | July 10, 2025",Arcade Legacy's Thursday Throwdown,2025-07-10,2025,OH,Sharonville,39.2681136,-84.4132746
2025-06-21," Columbus, OH, United States | Main Tournament | June 21, 2025",Stern King Kong Launch Party,2025-06-21,2025,OH,Columbus,39.9625112,-83.0032218
2025-06-19," Sharonville, OH, United States | Main Tournament | June 19, 2025",Arcade Legacy's Thursday Throwdown,2025-06-19,2025,OH,Sharonville,39.2681136,-84.4132746
2025-06-18," Toledo, OH, United States | Launch Party | June 18, 2025",Belles & Chimes Toledo - Monthly Meet-up,2025-06-18,2025,OH,Toledo,41.6528052,-83.5378674
2025-02-11," Dayton, OH, United States | League | February 11, 2025 to June 17, 2025",Miami Valley Pinball League - Season 4,2025-02-11,2025,OH,Dayton,39.7592225,-84.1936144
2025-06-17," Cleveland, OH, United States | Main Tournament | June 17, 2025",Tuesday Target Play @ Pinball Planet,2025-06-17,2025,OH,Cleveland,41.49932,-81.6943605
2025-06-14," Cincinnati, OH, United States | Main Tournament | June 14, 2025 to June 15, 2025",Pinburgh Satellite Mega Matchplay at Arcade Legacy ,2025-06-14,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-06-15," Toledo, OH, United States | Womens Division | June 15, 2025",Glass City Pinball Women's @The Underground Bar,2025-06-15,2025,OH,Toledo,41.6528052,-83.5378674
2025-06-15," Girard, OH, United States | Main Tournament | June 15, 2025",Past Times Arcade Sunday Classics,2025-06-15,2025,OH,Girard,41.1539465,-80.7014662
2025-06-14," Batavia, OH, United States | Main Tournament | June 14, 2025",Cincy Pinball Championship,2025-06-14,2025,OH,Batavia,39.0770072,-84.1768795
2025-06-14," Piqua, OH, United States | Main Tournament | June 14, 2025",D&D Launch Party,2025-06-14,2025,OH,Piqua,40.1447732,-84.2424449
2025-06-13," Sharonville, OH, United States | Classics | June 13, 2025",Pinburgh Satellite Warmup - Friday Night Classics,2025-06-13,2025,OH,Sharonville,39.2681136,-84.4132746
2025-06-13," Parma Heights, OH, United States | Main Tournament | June 13, 2025",Pinball Planet Womens Fair Strike Knockout,2025-06-13,2025,OH,Parma Heights,41.3900518,-81.7595769
2025-06-13," Girard, OH, United States | Main Tournament | June 13, 2025",Past Times Arcade Stern Army Friday Night Knockout,2025-06-13,2025,OH,Girard,41.1539465,-80.7014662
2025-06-12," Sharonville, OH, United States | Main Tournament | June 12, 2025",Arcade Legacy's Thursday Throwdown,2025-06-12,2025,OH,Sharonville,39.2681136,-84.4132746
2025-04-17," Girard, OH, United States | League | April 17, 2025 to June 12, 2025",Past Times Pinball League Womens Spring Season '25,2025-04-17,2025,OH,Girard,41.1539465,-80.7014662
2025-04-17," Girard, OH, United States | League | April 17, 2025 to June 12, 2025",Past Times Pinball League Open Spring Season '25,2025-04-17,2025,OH,Girard,41.1539465,-80.7014662
2025-06-11," Centerville, OH, United States | Launch Party | June 11, 2025",Pinball Flip Out X-Men Launch Party at Loose Ends,2025-06-11,2025,OH,Centerville,39.6283928,-84.1593818
2025-04-06," Westerville, OH, United States | League | April 6, 2025 to June 8, 2025",614 Pinball League,2025-04-06,2025,OH,Westerville,40.1266689,-82.9318807
2025-06-08," Toledo, OH, United States | Launch Party | June 8, 2025",King Kong Launch Party @ The Basement,2025-06-08,2025,OH,Toledo,41.6528052,-83.5378674
2025-06-08," North Canton, OH, United States | Main Tournament | June 8, 2025",Hoover Pinball Monthly Knockout,2025-06-08,2025,OH,North Canton,40.875891,-81.4023356
2025-06-08," Toledo, OH, United States | Main Tournament | June 8, 2025",Glass City Pinball @The Underground Bar,2025-06-08,2025,OH,Toledo,41.6528052,-83.5378674
2025-06-07," Dennison, OH, United States | Main Tournament | June 7, 2025",Holy Rollers IFPA June 3 strike knockout,2025-06-07,2025,OH,Dennison,40.3943489,-81.3230322
2025-06-07," Parma Heights, OH, United States | Main Tournament | June 7, 2025",Pinball Planet Stern Army IFPA Tournament,2025-06-07,2025,OH,Parma Heights,41.3900518,-81.7595769
2025-06-05," Sharonville, OH, United States | Main Tournament | June 5, 2025",King Kong Launch Party at Arcade Legacy,2025-06-05,2025,OH,Sharonville,39.2681136,-84.4132746
2025-06-03," Berea, OH, United States | Womens Division | June 3, 2025",KFWL Pinball! Pinball! Pinball!,2025-06-03,2025,OH,Berea,41.3661614,-81.8543026
2025-06-02," Cincinnati, OH, United States | Main Tournament | June 2, 2025",Anderson Tap House - Weeknight Tap Out,2025-06-02,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-06-01," Cincinnati, OH, United States | Womens Division | June 1, 2025",Queen City Seawitches Monthly at Arcade Legacy,2025-06-01,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-06-01," Toledo, OH, United States | Main Tournament | June 1, 2025",Toledo Pinball @ Wild Side Downtown,2025-06-01,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-25," Berea, OH, United States | Main Tournament | May 25, 2025 to May 31, 2025",Kidforce Seasonal Showdown,2025-05-25,2025,OH,Berea,41.3661614,-81.8543026
2025-05-30," Cleveland, OH, United States | Main Tournament | May 30, 2025",216 Pinball,2025-05-30,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-30," Berea, OH, United States | Main Tournament | May 30, 2025",Kidforce Friday Night Knockout,2025-05-30,2025,OH,Berea,41.3661614,-81.8543026
2025-05-30," Canton, OH, United States | Main Tournament | May 30, 2025",Mayhem In May at Rack It Up,2025-05-30,2025,OH,Canton,40.7973776,-81.3769965
2025-05-30," Parma Heights, OH, United States | Main Tournament | May 30, 2025",Pinball Planet Womens Fair Strike Knockout,2025-05-30,2025,OH,Parma Heights,41.3900518,-81.7595769
2025-05-29," Cincinnati, OH, United States | Main Tournament | May 29, 2025",Arcade Legacy's Thursday Throwdown,2025-05-29,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-04-16," Cleveland, OH, United States | League | April 16, 2025 to May 28, 2025",Wednesday Wizard 2X Series,2025-04-16,2025,OH,Cleveland,41.49932,-81.6943605
2025-04-02," Columbus, OH, United States | League | April 2, 2025 to May 28, 2025",Belles and Chimes Columbus Season 17 League,2025-04-02,2025,OH,Columbus,39.9625112,-83.0032218
2025-05-26," Hamilton, OH, United States | Main Tournament | May 26, 2025",Pinball Garage X Arcade Legacy XXXII,2025-05-26,2025,OH,Hamilton,39.3988679,-84.5587838
2025-05-25," Toledo, OH, United States | Main Tournament | May 25, 2025",Toledo Pinball @ The Basement:Toledo's Pinball Pub,2025-05-25,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-25," Beavercreek, OH, United States | Main Tournament | May 25, 2025",7 Strike Progressive Tournament,2025-05-25,2025,OH,Beavercreek,39.7092262,-84.0632685
2025-05-24," Ostrander, OH, United States | Main Tournament | May 24, 2025 to May 25, 2025",The Amazing Pinball Race 8,2025-05-24,2025,OH,Ostrander,40.266172,-83.2126932
2025-05-25," Toledo, OH, United States | Main Tournament | May 25, 2025",Glass City Pinball @The Underground Bar,2025-05-25,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-23," Berea, OH, United States | Main Tournament | May 23, 2025",Kidforce Friday Night Knockout,2025-05-23,2025,OH,Berea,41.3661614,-81.8543026
2025-05-23," Ostrander, OH, United States | Main Tournament | May 23, 2025",TAPR 8 - Women's Amazing Race,2025-05-23,2025,OH,Ostrander,40.266172,-83.2126932
2025-05-23," Ostrander, OH, United States | Side Tournament | May 23, 2025",TAPR 8 - Friday Matchplay,2025-05-23,2025,OH,Ostrander,40.266172,-83.2126932
2025-05-22," Cincinnati, OH, United States | Main Tournament | May 22, 2025",Arcade Legacy's Thursday Throwdown,2025-05-22,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-05-22," Gahanna, OH, United States | Main Tournament | May 22, 2025",The Amazing Pinball Race Eve Tournament,2025-05-22,2025,OH,Gahanna,40.0192307,-82.8793446
2025-05-22," Cleveland, OH, United States | Main Tournament | May 22, 2025",Thursday Night Knockout,2025-05-22,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-21," Toledo, OH, United States | Womens Division | May 21, 2025",Belles & Chimes Toledo - Monthly Meet-up,2025-05-21,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-21," Westerville, OH, United States | Main Tournament | May 21, 2025",Pre-Amazing Race Tournament,2025-05-21,2025,OH,Westerville,40.1266689,-82.9318807
2025-05-19," Liberty Township, OH, United States | Main Tournament | May 19, 2025",Best of Jaws,2025-05-19,2025,OH,Liberty Township,39.401514,-84.4094359
2025-03-10," Cincinnati, OH, United States | League | March 10, 2025 to May 18, 2025",Arcade Legacy Spring League 2025,2025-03-10,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-05-18," Toledo, OH, United States | Main Tournament | May 18, 2025",Toledo Pinball @ Wild Side Downtown,2025-05-18,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-18," Toledo, OH, United States | Womens Division | May 18, 2025",Glass City Pinball Women's @The Underground Bar,2025-05-18,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-18," Dayton, OH, United States | Main Tournament | May 18, 2025",Gem City Pinball Monthly Tournament - Stern Army,2025-05-18,2025,OH,Dayton,39.7592225,-84.1936144
2025-05-18," Cleveland, OH, United States | Main Tournament | May 18, 2025",Superelectric Pinball Battle,2025-05-18,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-18," Girard, OH, United States | Main Tournament | May 18, 2025",Past Times Arcade Sunday Classics,2025-05-18,2025,OH,Girard,41.1539465,-80.7014662
2025-05-18," Delaware, OH, United States | Main Tournament | May 18, 2025",Loiee G's May Stern Army Tournament,2025-05-18,2025,OH,Delaware,40.2986724,-83.067965
2025-05-17," Berea, OH, United States | Main Tournament | May 17, 2025",Kidforce Flip Frenzy,2025-05-17,2025,OH,Berea,41.3661614,-81.8543026
2025-05-16," Berea, OH, United States | Main Tournament | May 16, 2025",Kidforce Friday Night Knockout,2025-05-16,2025,OH,Berea,41.3661614,-81.8543026
2025-05-16," Parma Heights, OH, United States | Main Tournament | May 16, 2025",Pinball Planet Womens Fair Strike Knockout,2025-05-16,2025,OH,Parma Heights,41.3900518,-81.7595769
2025-05-15," Cincinnati, OH, United States | Main Tournament | May 15, 2025",Arcade Legacy's Thursday Throwdown,2025-05-15,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-03-20," Columbus, OH, United States | League | March 20, 2025 to May 15, 2025",League Super Awesome,2025-03-20,2025,OH,Columbus,39.9625112,-83.0032218
2025-04-03," Cleveland, OH, United States | League | April 3, 2025 to May 15, 2025",Belles & Chimes Cleveland 18,2025-04-03,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-14," Toledo, OH, United States | Classics | May 14, 2025",Toledo Pinball 1-Ball Warmup @ The Basement,2025-05-14,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-14," Centerville, OH, United States | Main Tournament | May 14, 2025",Pinball Flip Out at Loose Ends Brewing,2025-05-14,2025,OH,Centerville,39.6283928,-84.1593818
2025-05-12," Cleveland, OH, United States | Main Tournament | May 12, 2025",Stern Army SIN (Service Industry kNockout),2025-05-12,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-11," Toledo, OH, United States | Main Tournament | May 11, 2025",Glass City Pinball @The Underground Bar,2025-05-11,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-09," Berea, OH, United States | Main Tournament | May 9, 2025",Kidforce Friday Night Knockout,2025-05-09,2025,OH,Berea,41.3661614,-81.8543026
2025-05-09," Girard, OH, United States | Main Tournament | May 9, 2025",Past Times Arcade Stern Army Friday Night Knockout,2025-05-09,2025,OH,Girard,41.1539465,-80.7014662
2025-05-08," Cincinnati, OH, United States | Main Tournament | May 8, 2025",Arcade Legacy's Thursday Throwdown,2025-05-08,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-03-25," Cleveland, OH, United States | League | March 25, 2025 to May 6, 2025",Pinball Planet Tuesday IFPA Chasers,2025-03-25,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-04," Cincinnati, OH, United States | Womens Division | May 4, 2025",Queen City Seawitches Monthly at Arcade Legacy,2025-05-04,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-05-03," Cleveland, OH, United States | Main Tournament | May 3, 2025 to May 4, 2025",Pinball Planet Mega Matchplay ,2025-05-03,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-04," Toledo, OH, United States | Main Tournament | May 4, 2025",Toledo Pinball @ Wild Side Downtown,2025-05-04,2025,OH,Toledo,41.6528052,-83.5378674
2025-05-04," North Canton, OH, United States | Main Tournament | May 4, 2025",Hoover Pinball Monthly Knockout,2025-05-04,2025,OH,North Canton,40.875891,-81.4023356
2025-05-04," Saint Marys, OH, United States | Main Tournament | May 4, 2025",May The 4th Be With You at The Comet,2025-05-04,2025,OH,Saint Marys,40.5425341,-84.3895701
2025-05-03," Plain City, OH, United States | Main Tournament | May 3, 2025",The Derby Dash Strikes Back,2025-05-03,2025,OH,Plain City,40.1075615,-83.2674165
2025-03-21," Cleveland, OH, United States | League | March 21, 2025 to May 2, 2025",Womens 2025 Spring League,2025-03-21,2025,OH,Cleveland,41.49932,-81.6943605
2025-05-01," Cincinnati, OH, United States | Main Tournament | May 1, 2025",Arcade Legacy's Thursday Throwdown,2025-05-01,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-04-30," Toledo, OH, United States | Classics | April 30, 2025",Toledo Pinball 1-Ball Warmup @ The Basement,2025-04-30,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-28," Hamilton, OH, United States | Main Tournament | April 28, 2025",The Pinball Garage X Arcade Legacy XXXI,2025-04-28,2025,OH,Hamilton,39.3988679,-84.5587838
2025-02-17," Dayton, OH, United States | League | February 17, 2025 to April 28, 2025",Gem City Pinball League - Season 13,2025-02-17,2025,OH,Dayton,39.7592225,-84.1936144
2025-04-27," Toledo, OH, United States | Main Tournament | April 27, 2025",Toledo Pinball @ The Basement:Toledo's Pinball Pub,2025-04-27,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-27," Columbus, OH, United States | Main Tournament | April 27, 2025",Stern Army Sunday Pinball Charity Series,2025-04-27,2025,OH,Columbus,39.9625112,-83.0032218
2025-04-27," Dayton, OH, United States | Main Tournament | April 27, 2025",7 Strike Progressive Tournament,2025-04-27,2025,OH,Dayton,39.7592225,-84.1936144
2025-04-27," Cleveland, OH, United States | Main Tournament | April 27, 2025",Superelectric Pinball Battle,2025-04-27,2025,OH,Cleveland,41.49932,-81.6943605
2025-04-27," Toledo, OH, United States | Main Tournament | April 27, 2025",Glass City Pinball @The Underground Bar,2025-04-27,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-26," Marengo, OH, United States | Launch Party | April 26, 2025",Stern Army D&D Launch Party,2025-04-26,2025,OH,Marengo,40.4008945,-82.8107329
2025-04-25," Euclid, OH, United States | Main Tournament | April 25, 2025",216 Pinball,2025-04-25,2025,OH,Euclid,41.5931049,-81.5267873
2025-04-25," Berea, OH, United States | Main Tournament | April 25, 2025",Kidforce Friday Night Knockout,2025-04-25,2025,OH,Berea,41.3661614,-81.8543026
2025-04-24," Cincinnati, OH, United States | Main Tournament | April 24, 2025",Godzilla Re-Launch Party at Arcade Legacy,2025-04-24,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-04-24," Toledo, OH, United States | Womens Division | April 24, 2025",Belles & Chimes Toledo - Monthly Meet-up,2025-04-24,2025,OH,Toledo,41.6528052,-83.5378674
2025-03-06," Dayton, OH, United States | League | March 6, 2025 to April 24, 2025",DUPL Season 10 League,2025-03-06,2025,OH,Dayton,39.7592225,-84.1936144
2025-04-24," Cleveland, OH, United States | Main Tournament | April 24, 2025",Thursday Night Knockout,2025-04-24,2025,OH,Cleveland,41.49932,-81.6943605
2025-03-11," Canal Winchester, OH, United States | League | March 11, 2025 to April 22, 2025",614 Pinball - Tuesday League @ Homestead CW,2025-03-11,2025,OH,Canal Winchester,39.8428193,-82.8056388
2025-04-20," Toledo, OH, United States | Womens Division | April 20, 2025",Glass City Pinball Women's @The Underground Bar,2025-04-20,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-27," Girard, OH, United States | Main Tournament | April 27, 2025 to April 20, 2025",Past Times Arcade Sunday Classics,2025-04-27,2025,OH,Girard,41.1539465,-80.7014662
2025-04-19," Dennison, OH, United States | Main Tournament | April 19, 2025",Holy Rollers IFPA April Tournament,2025-04-19,2025,OH,Dennison,40.3943489,-81.3230322
2025-01-24," New Albany, OH, United States | League | January 24, 2025 to April 18, 2025",Mid Ohio Flipper Organization,2025-01-24,2025,OH,New Albany,40.0821602,-82.8100923
2025-04-18," Berea, OH, United States | Main Tournament | April 18, 2025",Kidforce Friday Night Knockout,2025-04-18,2025,OH,Berea,41.3661614,-81.8543026
2025-04-18," Canton, OH, United States | Launch Party | April 18, 2025",D & D: Launch Party at Rack It Up!,2025-04-18,2025,OH,Canton,40.7973776,-81.3769965
2025-04-17," Cincinnati, OH, United States | Main Tournament | April 17, 2025",Arcade Legacy's Thursday Throwdown,2025-04-17,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-04-17," Toledo, OH, United States | Main Tournament | April 17, 2025",Glass City Pinball @The Underground,2025-04-17,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-14," Cleveland, OH, United States | Main Tournament | April 14, 2025",Stern Army SIN (Service Industry kNockout),2025-04-14,2025,OH,Cleveland,41.49932,-81.6943605
2025-04-13," Toledo, OH, United States | Main Tournament | April 13, 2025",Toledo Pinball @ The Basement:Toledo's Pinball Pub,2025-04-13,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-13," North Canton, OH, United States | Main Tournament | April 13, 2025",Hoover Pinball Monthly Knockout,2025-04-13,2025,OH,North Canton,40.875891,-81.4023356
2025-04-13," Toledo, OH, United States | Main Tournament | April 13, 2025",Glass City Pinball @The Underground Bar,2025-04-13,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-10," Girard, OH, United States | Main Tournament | April 10, 2025 to April 12, 2025",Ohio Pinbrew Fest 2025 ,2025-04-10,2025,OH,Girard,41.1539465,-80.7014662
2025-04-12," Girard, OH, United States | Womens Division | April 12, 2025",Ohio Pinbrew Fest Women's Tournament 2025,2025-04-12,2025,OH,Girard,41.1539465,-80.7014662
2025-04-12," Cleveland, OH, United States | Pin-Golf | April 12, 2025",Pinball Planet's Pingolf,2025-04-12,2025,OH,Cleveland,41.49932,-81.6943605
2025-04-11," Berea, OH, United States | Main Tournament | April 11, 2025",Kidforce Friday Night Knockout,2025-04-11,2025,OH,Berea,41.3661614,-81.8543026
2025-04-10," Cincinnati, OH, United States | Main Tournament | April 10, 2025",Arcade Legacy's Thursday Throwdown,2025-04-10,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-02-25," Berea, OH, United States | League | February 25, 2025 to April 8, 2025",Kidforce Womens Pinball League Winter 2025,2025-02-25,2025,OH,Berea,41.3661614,-81.8543026
2025-04-06," Cincinnati, OH, United States | Womens Division | April 6, 2025",Queen City Seawitches Monthly at Arcade Legacy,2025-04-06,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-04-06," Lima, OH, United States | Main Tournament | April 6, 2025",Sunday Funday IFPA Pinball @Cartridge Gaming,2025-04-06,2025,OH,Lima,40.742551,-84.1052256
2025-04-06," Toledo, OH, United States | Main Tournament | April 6, 2025",Toledo Pinball @ Wild Side Downtown,2025-04-06,2025,OH,Toledo,41.6528052,-83.5378674
2025-04-06," Dayton, OH, United States | Main Tournament | April 6, 2025",Gem City Pinball Monthly Tournament - Stern Army,2025-04-06,2025,OH,Dayton,39.7592225,-84.1936144
2025-04-05," Girard, OH, United States | Main Tournament | April 5, 2025 to April 6, 2025",Past Times Arcade Mega Match Play ,2025-04-05,2025,OH,Girard,41.1539465,-80.7014662
2025-04-05," Parma Heights, OH, United States | Main Tournament | April 5, 2025",Pinball Planet Dungeons & Dragons Launch Party,2025-04-05,2025,OH,Parma Heights,41.3900518,-81.7595769
2025-04-04," Berea, OH, United States | Main Tournament | April 4, 2025",Kidforce Friday Night Knockout,2025-04-04,2025,OH,Berea,41.3661614,-81.8543026
2025-04-04," Girard, OH, United States | Side Tournament | April 4, 2025",Past Times Arcade MMP Warm-Up Knockout Tournament,2025-04-04,2025,OH,Girard,41.1539465,-80.7014662
2025-04-03," Cincinnati, OH, United States | Main Tournament | April 3, 2025",Arcade Legacy's Thursday Throwdown,2025-04-03,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-04-03," Toledo, OH, United States | Main Tournament | April 3, 2025",Glass City Pinball @The Underground,2025-04-03,2025,OH,Toledo,41.6528052,-83.5378674
2025-01-08," Toledo, OH, United States | League | January 8, 2025 to April 2, 2025",Toledo Pinball League - Season 4,2025-01-08,2025,OH,Toledo,41.6528052,-83.5378674
2025-03-31," Hamilton, OH, United States | Launch Party | March 31, 2025",Stern Dungeons & Dragons Launch at Pinball Garage,2025-03-31,2025,OH,Hamilton,39.3988679,-84.5587838
2025-02-02," Westerville, OH, United States | League | February 2, 2025 to March 30, 2025",614 Pinball League,2025-02-02,2025,OH,Westerville,40.1266689,-82.9318807
2025-03-30," Toledo, OH, United States | Main Tournament | March 30, 2025",Toledo Pinball @ The Basement:Toledo's Pinball Pub,2025-03-30,2025,OH,Toledo,41.6528052,-83.5378674
2025-03-30," Toledo, OH, United States | Main Tournament | March 30, 2025",Glass City Pinball @The Underground,2025-03-30,2025,OH,Toledo,41.6528052,-83.5378674
2025-03-28," Berea, OH, United States | Main Tournament | March 28, 2025",Kidforce Friday Night Knockout,2025-03-28,2025,OH,Berea,41.3661614,-81.8543026
2025-03-27," Cincinnati, OH, United States | Main Tournament | March 27, 2025",Arcade Legacy's Thursday Throwdown,2025-03-27,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-03-27," Toledo, OH, United States | Launch Party | March 27, 2025",Belles & Chimes Toledo - D&D Launch Party,2025-03-27,2025,OH,Toledo,41.6528052,-83.5378674
2025-03-27," Cleveland, OH, United States | Main Tournament | March 27, 2025",Thursday Night Knockout,2025-03-27,2025,OH,Cleveland,41.49932,-81.6943605
2025-01-14," Tallmadge, OH, United States | League | January 14, 2025 to March 25, 2025",Madcap Pinball Winter 2025 League,2025-01-14,2025,OH,Tallmadge,41.1014451,-81.441779
2025-03-23," Lima, OH, United States | Main Tournament | March 23, 2025",Sunday Funday IFPA Pinball @Cartridge Gaming,2025-03-23,2025,OH,Lima,40.742551,-84.1052256
2025-03-23," Toledo, OH, United States | Launch Party | March 23, 2025",Dungeons & Dragons Launch Party @ Wild Side,2025-03-23,2025,OH,Toledo,41.6528052,-83.5378674
2025-03-23," Westerville, OH, United States | Launch Party | March 23, 2025",Women's Stern Army Launch Party - D & D,2025-03-23,2025,OH,Westerville,40.1266689,-82.9318807
2025-03-23," Beavercreek, OH, United States | Main Tournament | March 23, 2025",7 Strike Fairplay Tournament,2025-03-23,2025,OH,Beavercreek,39.7092262,-84.0632685
2025-03-22," Westerville, OH, United States | Launch Party | March 22, 2025",Dungeons & Dragons Launch Party - Grizzlybird,2025-03-22,2025,OH,Westerville,40.1266689,-82.9318807
2025-03-22," Cleveland, OH, United States | League | March 22, 2025",Cleveland Pinball League - League Final,2025-03-22,2025,OH,Cleveland,41.49932,-81.6943605
2025-03-21," Berea, OH, United States | Main Tournament | March 21, 2025",Kidforce Friday Night Knockout,2025-03-21,2025,OH,Berea,41.3661614,-81.8543026
2025-03-20," Cincinnati, OH, United States | Main Tournament | March 20, 2025",Arcade Legacy's Thursday Throwdown,2025-03-20,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-03-20," Toledo, OH, United States | Main Tournament | March 20, 2025",Glass City Pinball @The Underground,2025-03-20,2025,OH,Toledo,41.6528052,-83.5378674
2025-01-23," Girard, OH, United States | League | January 23, 2025 to March 20, 2025",Past Times Pinball League Open Winter Season '25,2025-01-23,2025,OH,Girard,41.1539465,-80.7014662
2025-01-23," Girard, OH, United States | League | January 23, 2025 to March 20, 2025",Past Times Pinball League Womens Winter Season '25,2025-01-23,2025,OH,Girard,41.1539465,-80.7014662
2025-02-05," Cleveland, OH, United States | League | February 5, 2025 to March 19, 2025",Cleveland Pinball League - Superelectric Wednesday,2025-02-05,2025,OH,Cleveland,41.49932,-81.6943605
